PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
111,,1.111000.100,ארנונה כללית,Property tax,,,18700000,18973273.85
113,,1.113000.100,הנחות מימון-ארנונה,Property tax-Financing expenses,,,200000,234786.08
115,,1.115000.100,הנחות לזכאים-ארנונה,Property tax-eligibility discounts,,,1200000,1347010.61
191,,1.191000.910,מענק כללי לאיזון,General balancing grant,,,13660000,13660313.64
192,,1.192000.910,מענק חד-פעמי יעודי,One-time dedicated grant,,,13800000,13829739.96
2123,,1.212300.220,אגרת אסוף ובעור אשפה,Garbage collection and disposel fee,,,850000,694191.9
2123,,1.212300.490,הכנסות מתאגיד תמיר,Incomes from Tamir corporation,,,0,0
214,,1.214000.220,אגרת פיקוח וטרינרי,Veterinary inspection fee,,,20000,0
214,,1.214000.221,אג.חסון והסגר כלבים,Dog's vaccine & quarantine fee,,,60000,49416.2
215,,1.215000.220,אגרת הדברת מזיקים,Pesticides fee,,,25000,22573
222,,1.222000.500,החזר שכר רבשצ וסייר-מת',Security & patrol coordinator wage returns ,,,0,0
2221,,1.222100.990,הכנסות-משמר אזרחי,Incomes - civil police,,,6000,4567
227,,1.227000.970,מענק פקער-הגמר,Grant - civil defence,,,1700000,1696310
231,,1.231000.220,אג.מכרזים ושר.הנדסה,Tender & engineering service fee,,,30000,60600
231,,1.231000.590,העברה מקרן היטל השבחה,Transfers from betterment levy,,,0,0
233,,1.233000.220,אגרת רשיונות בניה,Building license fee,,,942000,913660.21
233,,1.233000.221,העתקי טפסים-מחלקת הנדסה,Forms copies - engineering department,,,0,135
242,,1.242000.290,הכנסות מעבודות שונות,Incomes - general works,,,1400000,1444001
269,,1.269000.500,החזר שכר כללי,General wage return,,,80000,20899.76
269,,1.269000.640,הכנסות שכר דירה,Income - apartment rents,,,55000,51004
269,,1.269000.690,הכנסות שונות,incomes - general,,,50000,42325.04
311,,1.311000.420,הכ'הורים-מפעל הזנה לאומ,"Incomes - parents, national feeding plan ",,,750000,588408.31
311,,1.311000.920,הסעת מורים וגננות,Teacher's transportaion,,,1700000,1702858.56
311,,1.311000.922,מ.חינוך-הכ.תקשוב לאומי,Ministry of Education - national ICT ,,,0,0
3111,311|31|3,1.311100.490,שונות-חנוך,Education - misc.,,,5000,21290
03,3122|312|31|3,1.312203.410,שכר לימוד-גני מועדון צה,Tuition - extended day preschool program,,,12000,22000
10,3122|312|31|3,1.312210.410,שכר לימוד גני-ילדים,Tuition - preschools,,,2760000,2879580.28
10,3122|312|31|3,1.312210.790,השת.ב'ל-גנים טיפוליים,?? Payment - Special education / theraputic preschools,,,0,32331
10,3122|312|31|3,1.312210.920,הכנסות יוח'א גנים,Income form extended day preschool programs,,,200000,325791.95
10,3122|312|31|3,1.312210.922,סייעות טיפוליות-גנים,Assistants for special education / theraputic preschools,,,47000,50086.3
10,3122|312|31|3,1.312210.923,גננות שי'ח וח'מ,Special education preschool teachers ,,,0,8011.02
10,3122|312|31|3,1.312210.940,סיעת רפואית גנים-מ.בריאות,Medical assistant for preschools - payment by Ministry of Health,,,0,0
10,3123|312|31|3,1.312310.420,גנים עודפים בישובים,Kindergarten surplus in communities,,,10000,0
10,3123|312|31|3,1.312310.920,שכל'מ ועו'ג-גנים,Tuition and ?? kindergartens ,,,8300000,8626232.11
10,3124|312|31|3,1.312410.410,השתתפות הורים-מעונות,Day care centers - parent payments,,,0,2152.4
10,3124|312|31|3,1.312410.930,השתתפות ממשלה-מעונות,Day care centers - Government payments,,,4500000,4201450
11,3132|313|31|3,1.313211.420,הורים-ח.משלים-אלו'ש,Alon Shvut community supplemental education program - parent payments,,,1635000,1302298.31
11,3132|313|31|3,1.313211.421,שונות ח.משלים-אלו'ש,Alon Shvut community supplemental education program - misc.,,,0,76804
11,3132|313|31|3,1.313211.920,"שרתים,מזכירים-אלו'ש","Alon Shvut community maintenance workers, secretaties",,,730000,704093.2
11,3132|313|31|3,1.313211.921,מ.חנוך-ח.משלים-אלו'ש,Alon Shvut community supplemental education program - Ministry of Education payment,,,50000,78852.65
11,3132|313|31|3,1.313211.922,סייעות כיתתיות-ביס אלוש,Alon Shvut school - class teaching assistants,,,600000,624529.51
11,3132|313|31|3,1.313211.923,מ.חנוך-פרויקט יהדות-אלו,Alon Shvut Judaism Project - Ministry of Education payment,,,130000,60421.86
11,3132|313|31|3,1.313211.924,"מ.חינוך-השת.בטיולים-אלו""ש",Alon Shvut school trips - Ministry of Education payment ,,,0,0
12,3132|313|31|3,1.313212.420,הורים-חנ.משלים-ממד 2 ג',"Supplemental education program, regional state religious school 2 - parent payments",,,1020000,971375.63
12,3132|313|31|3,1.313212.421,שונות חנ.משלים-ממד 2 ג',"Supplemental education, regional state religious school 2- misc.",,,0,0
