PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
1111,111|11|1,1.111100.110,ארנונה כללית שוטפת ,Property Tax - general,,,3000000,2677000
1112,111|11|1,1.111200.110,ארנונה כללית פגורים ,Property Tax - delays,,,600000,982000
116,11|1,1.116000.110,ועדת הנחות חומריות ,,,,4500000,8376000
121,12|1,1.121000.290,תעודות ואישורים , document and certificate ,,,200000,176000
01,1282|282|28|2,1.128201.290,אגרות בית המשפט)גביה( ,court fees (collection),,,1000,2000
131,13|1,1.131000.990,השתת' משרד האוצר היטל השבחה ,,,,370000,0
16,1,1.160000.660,הכנסות מימון ,income from financing,,,10000,25000
191,19|1,1.191000.910,מענק כללי לאיזון ,,,,11250000,10916000
02,192|19|1,1.192002.910,מענק שיפוי פנסיה ,,,,20000,11000
04,192|19|1,1.192004.910,מענק-הגדלת שיעור המימוש ,,,,0,342000
05,192|19|1,1.192005.910,מענק מותנה בגביה ,,,,2000000,1630000
06,192|19|1,1.192006.910,משר הפנים מענק בחירות ,,,,0,0
07,192|19|1,1.192007.910,מענק חד פעמי ,,,,0,0
08,192|19|1,1.192008.910,"מענק שיפוי קופ""ג ",,,,17000,5000
09,192|19|1,1.192009.910,משרד הפנים תקבולים שונים ,,,,20000,0
2133,213|21|2,1.213300.940,השתתפות משרד הבריאות ,,,,0,42000
221,22|2,1.221000.750,הכנסות ממוסדות אחרים-מוקד רו,income from other institutes,,,0,0
2251,225|22|2,1.225100.990,"משרד התחבורה-זה""ב ",,,,100000,120000
228,22|2,1.228000.990,"השתת' משרד בטחון פנים-על""א ",,,,445000,196000
2334,233|23|2,1.233400.790,אגרות בנייה-שימעונים ,construction permit- shimonim ,,,586000,446000
269,26|2,1.269000.690,הכנסות שונות ,other incomes,,,100000,115000
269,26|2,1.269000.691,שונות קרן מקפת ,misc. pensions fund (keren makefet),,,30000,26000
01,269|26|2,1.269001.661,שונות קרן מקפת ,misc. pensions fund (keren makefet),,,4000,0
299,26|2,1.299000.990,השתת' ממשרד החקלאות ,,,,0,28000
3122,312|31|3,1.312200.420,"השתת' הורים הזנה יוח""א ",Parents share - kindergarten fee ,,,240000,1000
3122,312|31|3,1.312200.740,השתת' ממפעל הפיס ,lottery share,,,0,25000
3122,312|31|3,1.312200.920,עוזרות לגננות ,kindergarden teachers' assistants,,,1500000,1555000
3122,312|31|3,1.312200.923,"תשלומי הורים חומרים-ג""י ",parents' payments for materials - kindergardens,,,12000,7000
3122,312|31|3,1.312200.924,"ה.נלוות ח.מיוחד-גנ""י ",additional payments for special education - kindergardens,,,15000,14000
3122,312|31|3,1.312200.926,"שכ""ד גני חובה ",rent for preschool kindergardens,,,0,130000
3122,312|31|3,1.312200.927,"אגרת תלמידי חוץ-גנ""י ",exterior students' fees,,,0,3000
3122,312|31|3,1.312200.928,"גנ""י יוח""א ",long study day - kindergardens,,,270000,255000
3122,312|31|3,1.312200.929,השתת' מ.חינוך שונות ,ministry of education share - misc,,,85000,83000
3123,312|31|3,1.312300.410,השתתפות הורים ,Parents share,,,0,1000
3123,312|31|3,1.312300.920,"שכ""ל גני ילדים קדם חובה ",enrollment fees - nursery kindergardens,,,5300000,5043000
3123,312|31|3,1.312300.923,"תשלומי הורים חומרים-ט""ח ",parents' payments for materials - kindergardens,,,25000,13000
3123,312|31|3,1.312300.926,"שכ""ד גנ""י ט.חובה ",rent for nursery kindergardens,,,120000,130000
02,3123|312|31|3,1.312302.920,השתת' מ.חינוך - מעגן ,Ministry of education share - Ma'agan,,,105000,11000
3132,313|31|3,1.313200.420,"השתת' הורים הזנה יוח""א ",Parents share- long study day,,,100000,97000
3132,313|31|3,1.313200.740,השתת' מפעל הפיס-יסודי א ,lottery share- elementary A ,,,0,71000
3132,313|31|3,1.313200.920,שרתים-יסודי חורה א' ,Hura Alef elementary school - janitors,,,262000,247000
3132,313|31|3,1.313200.921,מזכירים-יסודי חורה א' ,Hura Alef elementary school - secretaries,,,84000,80000
3132,313|31|3,1.313200.922,אגרת שיכפול יסודי חורה א' ,Hura Alef elementary shcool - reproduction fees,,,10000,12000
3132,313|31|3,1.313200.923,תשלום הורים חומרים חורה א ,Hura Alef elementary shcool - parents' materials fees,,,10000,17000
3132,313|31|3,1.313200.925,"מנב""ס מזכירים חורה א ",Hura Alef elementary shcool - school management system,,,0,1000
3132,313|31|3,1.313200.926,פדיון חופשה ש+מ-יסודי א' ,Hura Alef elementary shcool - vacation days' redemption,,,4000,0
3132,313|31|3,1.313200.927,אגרת תלמידי חוץ-יסודי א' ,Hura Alef elementary school - exterior students' fees,,,0,5000
3132,313|31|3,1.313200.929,השתת' מ.חינוך - שונות ,Ministry of Education share - misc,,,55000,202000
01,3132|313|31|3,1.313201.420,השתת' הורים הזנת יוחא-אלע ,Parents share- long study day (meals),,,80000,25000
01,3132|313|31|3,1.313201.920,שרתים- יסודי אלעטאונה ,Elatawneh elementary school - janitors,,,385000,384000
01,3132|313|31|3,1.313201.921,מזכירים-יסודי אלעטאונה ,Elatawneh elementary school - secretaries,,,195000,122000
01,3132|313|31|3,1.313201.922,אגרת שיכפול יסודי אלעטאונ ,Elatawneh elementary shcool - reproduction fees,,,8000,20000
01,3132|313|31|3,1.313201.923,תשלום הורים חומרים-אלעטונ ,Elatawneh elementary shcool - parents' materials fees,,,12000,31000
01,3132|313|31|3,1.313201.924,חוק שילוב סייעות-בודדות ,Elatawneh elementary shcool - class assistants,,,645000,582000
