PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
01,111|11|1,1.111001.100,ארנונה למגורים,Residential property tax,,,9100000,9753132.9
99,1119|111|11|1,1.111999.999,עיקולי בנקים,Bank forclosures/seizures,,,0,6791.8
01,112|11|1,1.112001.101,ארנונה לעסקים וקרקע תפוסה,Business and occupied land property tax  ,,,3200000,3248344
01,112|11|1,1.113001.110,הנחות ארנונה,Property tax discounts,,,610000,711086
129,,1.129000.420,דמי השתתפות במכרז,Tender participation fee,,,30000,19300
2124,,1.212400.220,אגרת פינוי אשפה,Garbage collection fee,,,10000,4480.8
2124,,1.212400.620,מכירת ציוד יסודי-מטאטא,Sales of basic equipment  ,,,40000,39996
2142,,1.214200.220,אגרת רישיון כלבים,Dog license fee,,,12000,16104.5
2143,,1.214300.220,אגרת שיחרור כלבים,Dog pound release fee,,,2000,4300
2144,214|21|2,1.214400.220,אגרת טיפול במזיקים,Pest control fee,,,,
2145,214|21|2,1.214500.220,אגרת ביוב מתושבים,Resident sewage fee,,,,
22,,1.220000.220,אגרת שילוט,Signpost fee ,,,50000,59782.77
222,,1.222000.290,אגרות שונות,Miscellaneous fees,,,20000,24714.79
222,,1.222000.420,אגרות שמירה,Security fees,,,410000,399763.57
222,,1.222000.994,השתתפפות משטרה בשמירה,Police share in security ,,,,
226,,1.226000.910,השתת.  משרד הפנים,Ministry of Interior share/support,,,0,32691
2331,,1.233100.290,אגרת רשיון בניה,Building license fee,,,150000,173094.8
2444,,1.244400.991,סימון דרכים-השתת מ.תחבורה,Road marking - Ministry of Transportation share,,,50000,10423
269,,1.269000.420,הכנסות שונות,Miscellaneous revenues,,,100000,101093
281,,1.281000.420,גיזום וניקוי חצרות,Pruning and yard cleaning ,,,20000,1053.02
283,28|2,1.283000.420,ברירות קנס -חשבון 617226,Fine defaults account 617226,,,,
3122,,1.312200.410,"אג""ח גן חובה",Kindergarten/preschool fee,,,26000,0
3122,,1.312200.920,"השתת.מ.החינוך גנ""י",Kindergartens - Ministry of Education share,,,200000,238305.63
3123,,1.312300.410,אג'ח גן טרום חובה, Pre-kindergarten fee ,,,310000,201363.1
3124,,1.312400.420,השכרת בית שפיצר-גן דלית,Rent from Spitzer House / Dalit kindergarten,,,50000,36480
3125,,1.312500.420,השתת'הורים צהרון גנ'י,"Afternoon kindergarten child care program, parent payments",,,300000,301201.11
3132,,1.313200.420,השתתפות בית ספר,School share ,,,,
3132,,1.313200.920,השתת.מ.החינוך ב'יס,School - Ministry of Education share,,,335000,427709.95
3133,,1.313300.420,השתת'בסייעות,Teaching assistants - Ministry of Education share,,,22000,0
3138,,1.313800.420,קייטנה גני ילדים,Summer day camp kindergartens,,,86000,114822.3
3171,,1.317100.920,"קבטי""ם השתת'מ.החינוך",Security personel - Ministry of Education share,,,19000,19894.35
3173,,1.317300.420,מרכז כלנית-איבחון,Calanit Diagnostic Center for children with special needs - Diagnostics,,,275000,357186.25
3173,,1.317300.920,השתת' מש.חינוך-פסיכולוגי,Psychological services - Ministry of Education share,,,80000,86183.38
3178,,1.317800.420,הסעות תלמידים,Student transportation,,,110000,30434
3178,,1.317800.920,השתת' מש.חינוך-הסעות,Student transportation - Ministry of Education share,,,35000,28514.63
3193,319|31|3,1.319300.420,פעולות ספורט,Sports activities,,,,
3193,319|31|3,1.319300.920,השתת' משרד התרבות והספורט,Sports - Ministry of Culture and Sports share,,,,
323,,1.323000.420,השתת. תושבים בספריה,Citizens share in library budget,,,2000,4365
3243,324|32|3,1.324300.420,צהרון וייל,Weil Center after-school child care program,,,305000,20342
3261,,1.326100.420,חוגים מרכז וייל,Weil Center after-school activities,,,2353000,3380303.55
3261,,1.326100.421,הכנסות וייל ש.קודמות,Weil Center income from previous years,,,0,279390.21
3264,,1.326400.420,הופעות באודיטוריום,Auditorium performances ,,,1283000,1254083.5
3293,329|32|3,1.329300.420,פעולות ספורט,Sports events,,,4000,3980
34,,1.340000.930,השתת' מ.הרווחה,Ministry of Social Affairs and Social Services share,,,505000,525671
3438,,1.343800.420,אחזקת ילדים בפנימיה,Boarding school expenses,,,15000,9404.6
3443,,1.344300.420,שרותים לזקן במוסדות,Services for the elderly in institutions,,,5000,0
3444,,1.344400.420,השתתפות תושבים מועדון +,Citizens share in Club Plus,,,360000,319172
44,,1.440000.420,מכירת כרטיסי חניה,Sale of parking stubs,,,230000,203770.99
443,,1.443100.420,קנסות חניה,Parking violation fines ,,,520000,853315.98
4432,443|44|4,1.443200.420,רישוי עסקים-קנסות בית משפט,Business licensing court fines,,,,
511,,1.511000.661,ריבית,Interest,,,700000,700000
513,51|5,1.513000.690,תקבולים שנים קודמות,Receipts from previous years,,,0,113000
581,58|5,1.581100.420,הכנסה מותנית ארנונה,Conditional property tax revenue,,,,
5913,,1.591300.661,ריבית מהלוואות עובדים,Employee loan interests,,,2000,2833.1
5913,,1.591300.990,העב'יתרות ש.קודמות,Transfer of balances from previous years,,,842000,0
08,5919|591|59|5,1.591908.590,העברה מקרן פיתוח עבור מחלקת הנדסה,Transfer from the development fund for the engineering department,,,7765000,6224619
611,,1.611000.110,שכר ראש הרשות,Salary of the Head of the Municipal Council,,,680000,670161.31
612,,1.612000.110,מבקר פנים,Internal auditor ,,,83000,81428.79
612,,1.612000.750,יעוץ מערכות מידע,IT consultancy,,,36000,36661.8
6131,613|61|6,1.613100.110,מזכירה ראשית,Head secretary,,,130000,138523.39
6131,613|61|6,1.613100.430,מים-כח-חמרי ניקוי,Water-power-cleaning supplies,,,10000,7756.55
6131,613|61|6,1.613100.471,אחזקת מכונות משרד,Office equipment maintenance,,,10000,3289.76
6131,613|61|6,1.613100.472,רכישת ציוד יסודי ואחזקתו,Basic office equipment procurement and maintenance,,,13000,4939.46
6131,613|61|6,1.613100.510,כיבוד,Refreshments ,,,16000,16458.42
6131,613|61|6,1.613100.521,השתלמויות עובדים,Employee  professional development ,,,125000,116021.16
