PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
111,11|1,1.111000.100,ארנונה כללית,Property Tax - general,,,82795000,87648708.84
1112,111|11|1,1.111200.100,ארנונה פיגורים,Property Tax - delays,,,11000000,10654158.45
1112,111|11|1,1.111200.199,העלאת ארנונה,Property Tax Increase,,,,
113,11|1,1.113000.100,הנחות ארנונה מראש,Property Tax Discount in Advance,,,800000,928769.27
116,11|1,1.116000.100,הנחות ארנונה,Property Tax Discount,,,21000000,21861263.64
121,12|1,1.121000.220,"אישורים- טאבו, אגרת מידע","Permits - Tabu, Information Toll",,,40000,39980.3
122,12|1,1.122000.220,הכנסות משלטים,Income from Billboards,,,1000000,1091056.81
124,12|1,1.124000.220,אגרות אכיפה- החזרים מתושבים,Enforcement Tolls - Citizens' Refunds,,,700000,632387.87
124,12|1,1.124000.221,"שכ""ט - החזרים מתושבים",Fee for Professional Services - Citizens' Refunds,,,24000,40914.88
1241,124|12|1,1.124100.220,מודעות על לוחות,Adds on Notice Boards,,,24000,14633
16,1,1.160000.660,הכנסות מימון מספקים,Funding income for Suppliers,,,180000,151525.28
192,19|1,1.192000.910,מענקים חד פעמיים מ.הפנים,One-time Grants Ministry of Interior,,,900000,980766
195,19|1,1.195000.910,"מענקים - מפע""מ מצ'ינג",Grants - ??? matching,,,,125528
196,19|1,1.196000.910,השת.הממשלה בבחירות,Goverment participation in Election,,,,
2123,212|21|2,1.212300.220,הכנסות מכלי אשפה,Garbage disposals income,,,1055000,1084510.97
213,21|2,1.213000.220,רשיונות עסק,Business permits,,,70000,54163.5
2142,214|21|2,1.214200.290,וטרינרי בשר ודגים הכנסות,Meat and fish veterinary income,,,250000,319740.7
01,2142|214|21|2,1.214201.290,וטרינרי עופות הכנסות,Poultry veterinary income,,,155000,215127.3
02,2142|214|21|2,1.214202.290,וטרינרי חיסונים הכנסות,Vaccines veterinary income,,,330000,409002.75
03,2142|214|21|2,1.214203.290,וטרינרי השתת' עיריות,Veterinary Municipal participation,,,894912,1236364
04,2142|214|21|2,1.214204.290,וטרינרי קנסות הכנסות,Veterinary Fines Income,,,50000,40719.5
05,2142|214|21|2,1.214205.290,וטרינרי תעודות הכנסות,Veterinary Certificates Income,,,,261
05,2142|214|21|2,1.214205.690,שרות וטרינרי שונות,Veterinary Service misc.,,,,
09,2142|214|21|2,1.214209.960,השתת' משרד החקלאות,Participation of Ministry of Agriculture,,,,
2221,222|22|2,1.222100.910,משמר אזרחי השת.הממשלה,Civil Guard Government participation,,,10000,11770
225,22|2,1.225000.220,שמירה - חוק עזר,Guarding - municipal law,,,1100000,1360781.34
2262,226|22|2,1.226200.910,"מל""ח הכנסות ממשלה",??? Government income,,,,60307.66
2331,233|23|2,1.233100.490,אגרות בניה,Construction tolls,,,2248585,1498161.8
242,24|2,1.242000.000,סימון כבישים -השתת' ממשלה,Road marking - government participation,,,,
242,24|2,1.242000.800,דרכים ומדרכות בעלים,Ownership roads and pavements,,,935922,1408568.5
242,24|2,1.242000.990,השתתפות הממשלה כבישי,Goverment participation in roads,,,,
244,24|2,1.244000.990,בטיחות בדרכים השתת' ממשלה,Road safety - government participation,,,100000,71494
245,24|2,1.245000.800,אגרות תיעול קרקע,Land tunneling tolls,,,621617,621617
