PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
12,6111|611|61|6,1.611112.124,החזר הוצאות,,,,,47147
14,6111|611|61|6,1.611114.126,הבראה,,,,,0
15,6111|611|61|6,1.611115.127,השתתפות באחזקת רכב03,,,,,51262
19,6111|611|61|6,1.611119.130,תשלומים מיוחדים,,,,,1192
12,6111|611|61|6,1.611112.181,מיסים וביטוח לאומי,,,,,328573
13,6111|611|61|6,1.611113.182,קופות גמל והשתלמות,,,,,444707
13,6111|611|61|6,1.611113.230,ראש העיריה וסגניו07,,,,,2284572
19,6111|611|61|6,1.611119.463,טלפונים,,,,,6665
14,6111|611|61|6,1.611114.531,אחזקת רכב,,,,,8022
16,6111|611|61|6,1.611116.533,שכירת רכב,,,,,276109
17,6111|611|61|6,1.611117.534,דלק ושמן,,,,,74916
12,6111|611|61|6,1.611112.781,הוצאות שונות,,,,,207984
13,6111|611|61|6,1.611113.782,ייעוץ,,,,,178176
21,6111|611|61|6,1.611121.110,משכורת כוללת,,,,,1867908
27,6111|611|61|6,1.611127.124,החזר הוצאות,,,,,90076
29,6111|611|61|6,1.611129.126,הבראה,,,,,63602
21,6111|611|61|6,1.611121.127,השתתפות באחזקת רכב013,,,,,325301
25,6111|611|61|6,1.611125.130,תשלומים מיוחדים,,,,,171260
27,6111|611|61|6,1.611127.181,מיסים וביטוח לאומי,,,,,343950
28,6111|611|61|6,1.611128.182,קופות גמל והשתלמות,,,,,295205
27,6111|611|61|6,1.611127.310,שעות נוספות רשומות,,,,,92591
24,6111|611|61|6,1.611124.340,שעות נוספות מיוחדות,,,,,277999
23,6111|611|61|6,1.611123.412,מיסים ואגרות,,,,,780
28,6111|611|61|6,1.611128.433,ביטוח,,,,,18430
29,6111|611|61|6,1.611129.434,תקוני מבנים  מתקנים ואינונטר,,,,,1404
25,6111|611|61|6,1.611125.439,אחזקת בניני העיריה0השתתפות,,,,,179928
23,6111|611|61|6,1.611123.461,צרכי משרד,,,,,28355
24,6111|611|61|6,1.611124.462,ספרים ועתונים,,,,,2390
25,6111|611|61|6,1.611125.463,טלפונים,,,,,17900
24,6111|611|61|6,1.611124.510,נסיעות  ואש ל,,,,,9025
27,6111|611|61|6,1.611127.521,הדרכה וכנסים,,,,,0
28,6111|611|61|6,1.611128.522,גיבוש יחידתי,,,,,1800
29,6111|611|61|6,1.611129.531,אחזקת רכב,,,,,1430
22,6111|611|61|6,1.611122.533,שכירת רכב ורכב עירוני,,,,,76689
23,6111|611|61|6,1.611123.534,דלק ושמן,,,,,25187
22,6111|611|61|6,1.611122.541,אחזקת מכשירי קשר,,,,,93641
27,6111|611|61|6,1.611127.610,כיבודים,,,,,5970
21,6111|611|61|6,1.611121.670,סעיף שאינו חוזר,,,,,0
28,6111|611|61|6,1.611128.693,מחשוב יחידתי,,,,,6940
27,6111|611|61|6,1.611127.781,הוצאות אחרות,,,,,5510
28,6111|611|61|6,1.611128.782,קידום מעמד האישה,,,,,168660
29,6111|611|61|6,1.611129.783,פעולות תרבות,,,,,17382
24,6111|611|61|6,1.611124.932,ציוד ורהוט משרדי,,,,,14328
36,6111|611|61|6,1.611136.110,משכורת כוללת,,,,,3645457
33,6111|611|61|6,1.611133.124,החזר הוצאות,,,,,236446
35,6111|611|61|6,1.611135.126,הבראה,,,,,193314
36,6111|611|61|6,1.611136.127,השתתפות באחזקת רכב 034,,,,,914548
31,6111|611|61|6,1.611131.130,תשלומים מיוחדים,,,,,623655
33,6111|611|61|6,1.611133.181,מיסים וביטוח לאומי,,,,,684757
34,6111|611|61|6,1.611134.182,קופות גמל והשתלמות,,,,,523113
34,6111|611|61|6,1.611134.230,משימה חולפת01,,,,,67517
33,6111|611|61|6,1.611133.310,שעות נוספות רשומות,,,,,75534
38,6111|611|61|6,1.611138.412,מיסים ואגרות,,,,,1950
34,6111|611|61|6,1.611134.433,ביטוח,,,,,84390
38,6111|611|61|6,1.611138.461,צרכי משרד,,,,,0
31,6111|611|61|6,1.611131.463,טלפונים,,,,,7123
39,6111|611|61|6,1.611139.510,נסיעות  ואש ל,,,,,
33,6111|611|61|6,1.611133.521,הדרכה וכנסים,,,,,11980
34,6111|611|61|6,1.611134.522,גיבוש יחידתי,,,,,4265
35,6111|611|61|6,1.611135.531,אחזקת רכב,,,,,0
37,6111|611|61|6,1.611137.533,שכירת רכב ורכב עירוני,,,,,0
38,6111|611|61|6,1.611138.534,דלק ושמן,,,,,0
33,6111|611|61|6,1.611133.610,כיבודים,,,,,5295
36,6111|611|61|6,1.611136.670,סעיף שאינו חוזר,,,,,18194
34,6111|611|61|6,1.611134.693,מחשוב יחידתי,,,,,17017
36,6111|611|61|6,1.611136.751,עבודות ע י גו ח,,,,,3341
39,6111|611|61|6,1.611139.932,ציוד וריהוט משרדי,,,,,1171490
16,6111|611|61|6,1.611216.439,אחזקת בניני העיריה0השתתפות,,,,,0
12,6112|611|61|6,1.611212.670,סעיף שאינו חוזר,,,,,4967
18,6112|611|61|6,1.611218.781,סל שירותים לחברי מועצה,,,,,324486
19,6112|611|61|6,1.611219.782,סל ועדות עירוניות,,,,,37745
27,6112|611|61|6,1.611227.110,משכורת כוללת,,,,,148005
24,6112|611|61|6,1.611224.124,החזר הוצאות,,,,,5556
26,6112|611|61|6,1.611226.126,הבראה,,,,,5135
27,6112|611|61|6,1.611227.127,השתתפות באחזקת רכב 0 1,,,,,37875
22,6112|611|61|6,1.611222.130,תשלומים מיוחדים,,,,,36866
24,6112|611|61|6,1.611224.181,מיסים וביטוח לאומי,,,,,31228
25,6112|611|61|6,1.611225.182,קופות גמל והשתלמות,,,,,21565
24,6112|611|61|6,1.611224.310,שעות נוספות רשומות,,,,,15408
25,6112|611|61|6,1.611225.433,ביטוח,,,,,2910
29,6112|611|61|6,1.611229.461,צרכי משרד,,,,,27865
21,6112|611|61|6,1.611221.462,ספרים ועתונים,,,,,1698
22,6112|611|61|6,1.611222.463,טלפונים,,,,,2167
23,6112|611|61|6,1.611223.464,דאר,,,,,1599
24,6112|611|61|6,1.611224.610,כיבודים,,,,,32376
27,6112|611|61|6,1.611227.751,עבודה בקבלנות,,,,,132763
28,6112|611|61|6,1.611228.752,אבטחת ישיבות המועצה,,,,,37182
07,6121|612|61|6,1.612107.110,משכורת כוללת,,,,,959682
04,6121|612|61|6,1.612104.124,החזר הוצאות,,,,,40520
06,6121|612|61|6,1.612106.126,הבראה,,,,,28756
07,6121|612|61|6,1.612107.127,השתתפות באחזקת רכב0 5,,,,,160042
02,6121|612|61|6,1.612102.130,תשלומים מיוחדים,,,,,50839
04,6121|612|61|6,1.612104.181,מיסים וביטוח לאומי,,,,,162937
05,6121|612|61|6,1.612105.182,קופות גמל והשתלמות,,,,,121488
05,6121|612|61|6,1.612105.230,משימות חולפות0 1.2,,,,,61034
05,6121|612|61|6,1.612105.433,ביטוח,,,,,23280
06,6121|612|61|6,1.612106.434,תקוני מבנים  מתקנים ואינונטר,,,,,6791
02,6121|612|61|6,1.612102.439,אחזקת בניני העיריה0השתתפות,,,,,686725
09,6121|612|61|6,1.612109.461,צרכי משרד,,,,,17831
01,6121|612|61|6,1.612101.462,ספרים ועתונים,,,,,1620
02,6121|612|61|6,1.612102.463,טלפונים,,,,,3668
03,6121|612|61|6,1.612103.464,דאר,,,,,833
05,6121|612|61|6,1.612105.522,גיבוש יחידתי,,,,,1320
08,6121|612|61|6,1.612108.541,אחזקת מכשירי קשר,,,,,0
04,6121|612|61|6,1.612104.610,כיבודים,,,,,5203
09,6121|612|61|6,1.612109.680,הוצאות   מיוחדות,,,,,1143
03,6121|612|61|6,1.612103.691,מערכות מידע ומחשוב,,,,,49980
05,6121|612|61|6,1.612105.693,מחשוב יחידתי,,,,,35960
07,6121|612|61|6,1.612107.695,תקשורת  ציוד והתקנה,,,,,0
04,6121|612|61|6,1.612104.781,דמי חבר לארגונים ארציים ובי נ,,,,,790
05,6121|612|61|6,1.612105.782,דוח מבקר העיריה,,,,,11036
01,6121|612|61|6,1.612101.932,ציוד ורהוט משרדי,,,,,4211
04,6122|612|61|6,1.612204.110,משכורת כוללת,,,,,1059414
01,6122|612|61|6,1.612201.124,החזר הוצאות,,,,,22540
03,6122|612|61|6,1.612203.126,הבראה,,,,,21883
04,6122|612|61|6,1.612204.127,השתתפות באחזקת רכב 0 4,,,,,140314
08,6122|612|61|6,1.612208.130,תשלומים מיוחדים,,,,,16998
01,6122|612|61|6,1.612201.181,מיסים וביטוח לאומי,,,,,163573
02,6122|612|61|6,1.612202.182,קופות גמל והשתלמות,,,,,108429
01,6122|612|61|6,1.612201.310,שעות נוספות רשומות,,,,,26466
07,6122|612|61|6,1.612207.510,נסיעות ואש ל,,,,,0
01,6122|612|61|6,1.612201.521,הדרכה וכנסים,,,,,7350
01,6122|612|61|6,1.612201.781,עבודות ע י גו ח0יעוץ מקצועי,,,,,2682258
11,6131|613|61|6,1.613111.110,משכורת כוללת,,,,,1335199
17,6131|613|61|6,1.613117.124,החזר הוצאות,,,,,47916
19,6131|613|61|6,1.613119.126,הבראה,,,,,40290
11,6131|613|61|6,1.613111.127,השתתפות באחזקת רכב 0 7,,,,,219981
15,6131|613|61|6,1.613115.130,תשלומים מיוחדים,,,,,113354
17,6131|613|61|6,1.613117.181,מיסים וביטוח לאומי,,,,,227896
18,6131|613|61|6,1.613118.182,קופות גמל והשתלמות,,,,,152867
17,6131|613|61|6,1.613117.310,שעות נוספות רשומות,,,,,37652
14,6131|613|61|6,1.613114.340,שעות נוספות מיוחדות,,,,,57353
18,6131|613|61|6,1.613118.433,ביטוח,,,,,19400
19,6131|613|61|6,1.613119.434,תקוני מבנים  מתקנים ואינונטר,,,,,7633
15,6131|613|61|6,1.613115.439,אחזקת בניני העיריה0השתתפות,,,,,236905
13,6131|613|61|6,1.613113.461,צרכי משרד,,,,,17568
14,6131|613|61|6,1.613114.462,ספרים ועתונים,,,,,4817
15,6131|613|61|6,1.613115.463,טלפונים,,,,,8070
16,6131|613|61|6,1.613116.464,דאר,,,,,2800
14,6131|613|61|6,1.613114.510,נסיעות  ואש ל,,,,,557
17,6131|613|61|6,1.613117.521,הדרכה וכנסים,,,,,3400
18,6131|613|61|6,1.613118.522,גיבוש יחידתי,,,,,2012
19,6131|613|61|6,1.613119.531,אחזקת רכב,,,,,3554
12,6131|613|61|6,1.613112.533,שכירת רכב ורכב עירוני,,,,,65679
13,6131|613|61|6,1.613113.534,דלק ושמן,,,,,42975
12,6131|613|61|6,1.613112.541,אחזקת מכשירי קשר,,,,,23500
17,6131|613|61|6,1.613117.610,כבודים,,,,,30428
16,6131|613|61|6,1.613116.691,מערכות מידע ומחשוב,,,,,49980
18,6131|613|61|6,1.613118.693,מחשוב יחידתי,,,,,2837
13,6131|613|61|6,1.613113.753,הוצאות שונות,,,,,13176
14,6131|613|61|6,1.613114.932,ציוד ורהוט משרדי,,,,,22030
26,6131|613|61|6,1.613126.110,משכורת כוללת,,,,,1361307
23,6131|613|61|6,1.613123.124,החזר הוצאות,,,,,55009
25,6131|613|61|6,1.613125.126,הבראה,,,,,44860
26,6131|613|61|6,1.613126.127,השתתפות באחזקת רכב 0 12,,,,,168516
21,6131|613|61|6,1.613121.130,תשלומים מיוחדים,,,,,184882
29,6131|613|61|6,1.613129.170,סעיף שאינו חוזר,,,,,
23,6131|613|61|6,1.613123.181,מיסים וביטוח לאומי,,,,,250578
24,6131|613|61|6,1.613124.182,קופות גמל והשתלמות,,,,,169421
23,6131|613|61|6,1.613123.310,שעות נוספות רשומות,,,,,77679
28,6131|613|61|6,1.613128.412,מיסים ואגרות,,,,,390
24,6131|613|61|6,1.613124.433,ביטוח,,,,,19400
25,6131|613|61|6,1.613125.434,תקוני מבנים  מתקנים ואינונטר,,,,,2923
21,6131|613|61|6,1.613121.439,אחזקת בניני העיריה0השתתפות,,,,,84966
28,6131|613|61|6,1.613128.461,צרכי משרד,,,,,14011
29,6131|613|61|6,1.613129.462,ספרים ועתונים,,,,,7159
21,6131|613|61|6,1.613121.463,טלפונים,,,,,7384
22,6131|613|61|6,1.613122.464,דאר,,,,,285
23,6131|613|61|6,1.613123.521,הדרכה וכנסים,,,,,239830
24,6131|613|61|6,1.613124.522,גיבוש יחידתי,,,,,3108
25,6131|613|61|6,1.613125.531,אחזקת רכב,,,,,5417
27,6131|613|61|6,1.613127.533,שכירת רכב ורכב עירוני,,,,,113235
28,6131|613|61|6,1.613128.534,דלק ושמן,,,,,54980
27,6131|613|61|6,1.613127.541,אחזקת מכשירי קשר,,,,,9128
23,6131|613|61|6,1.613123.610,כבודים,,,,,10505
26,6131|613|61|6,1.613126.670,סעיף שאינו חוזר,,,,,0
22,6131|613|61|6,1.613122.691,מערכות מידע ומחשוב,,,,,41326
24,6131|613|61|6,1.613124.693,מחשוב יחידתי,,,,,13489
26,6131|613|61|6,1.613126.751,יעוץ מקצועי,,,,,87221
27,6131|613|61|6,1.613127.752,מתודולוגיה לניהול פרוייקטים,,,,,94832
24,6131|613|61|6,1.613124.782,הוצאות שונות,,,,,22746
26,6131|613|61|6,1.613126.784,ניהול ידע,,,,,750783
27,6131|613|61|6,1.613127.785,עירייה זמינה,,,,,762939
24,6131|613|61|6,1.613124.790,עתודת הסמנכ ל,,,,,0
29,6131|613|61|6,1.613129.932,ציוד ורהוט משרדי,,,,,3579
32,6131|613|61|6,1.613132.110,משכורת כוללת,,,,,1479405
38,6131|613|61|6,1.613138.124,החזר הוצאות,,,,,73007
31,6131|613|61|6,1.613131.126,הבראה,,,,,54411
32,6131|613|61|6,1.613132.127,השתתפות באחזקת רכב0 14,,,,,281971
36,6131|613|61|6,1.613136.130,תשלומים מיוחדים,,,,,210058
38,6131|613|61|6,1.613138.181,מיסים וביטוח לאומי,,,,,273440
39,6131|613|61|6,1.613139.182,קופות גמל והשתלמות,,,,,187707
38,6131|613|61|6,1.613138.310,שעות נוספות רשומות,,,,,75103
39,6131|613|61|6,1.613139.433,ביטוח,,,,,24250
31,6131|613|61|6,1.613131.434,תקוני מבנים  מתקנים ואינונטר,,,,,2756
36,6131|613|61|6,1.613136.439,אחזקת בניני העיריה0השתתפות,,,,,93962
34,6131|613|61|6,1.613134.461,צרכי משרד,,,,,15541
35,6131|613|61|6,1.613135.462,ספרים ועתונים,,,,,4959
