NAME,CODE,PARENT,PARENT ALIAS,DIRECTION,INVERSE,INVERSE ALIAS,DESCRIPTION
הנהלה כללית,6,,,EXPENDITURE,,,
מינהל כללי,61,6,,EXPENDITURE,,,
הנהלה ורשות,611,61,,EXPENDITURE,,,
ראש הרשות המקומית וסגניו,6111,611,,EXPENDITURE,,,
מועצת הרשות,6112,611,,EXPENDITURE,,,
מבקר הרשות,612,61,,EXPENDITURE,,,
מזכירות,613,61,,EXPENDITURE,,,
הסברה ויחסי ציבור,614,61,,EXPENDITURE,,,
מנגנון,615,61,,EXPENDITURE,,,
או״ש והדרכה,616,61,,EXPENDITURE,,,
שרות משפטי,617,61,,EXPENDITURE,,,
תכנון ומחקר,618,61,,EXPENDITURE,,,
בחירות ברשויות המקומיות,619,61,,EXPENDITURE,,,
מינהל כספי,62,6,,EXPENDITURE,,,
הגזברות,621,62,,EXPENDITURE,,,
הנהלת הגזברות,6211,621,,EXPENDITURE,,,
תקציבים וכלכלה,6212,621,,EXPENDITURE,,,
הנהלת חשבונות,6213,621,,EXPENDITURE,,,
תשלומים,6214,621,,EXPENDITURE,,,
יחידת שכר,6215,621,,EXPENDITURE,,,
מעקב אחר הכנסות,6216,621,,EXPENDITURE,,,
מיכון ואוטומציה,6217,621,,EXPENDITURE,,,
שומה,622,62,,EXPENDITURE,,,
גבייה,623,62,,EXPENDITURE,,,
מזכירות ומינהל,6231,623,,EXPENDITURE,,,
גביית ארנונה,6232,623,,EXPENDITURE,,,
גביית אגרות והיטלים,6233,623,,EXPENDITURE,,,
גביית תשלומי בעלים,6234,623,,EXPENDITURE,,,
גבייה ממשרדי ממשלה,6235,623,,EXPENDITURE,,,
הוצאות לפועל,6236,623,,EXPENDITURE,,,
פקוח על חברות הרשות,624,62,,EXPENDITURE,,,
הוצאות מימון,63,6,,EXPENDITURE,,,
עמלות והוצאות בנקאיות,631,63,,EXPENDITURE,,,
הוצאות מימון,632,63,,EXPENDITURE,113,,
פרעון מלוות,64,6,,EXPENDITURE,,,
פרעון מלוות לפרעון עצמי,648,64,,EXPENDITURE,,,
פרעון מלוות מוכר,649,64,,EXPENDITURE,,,
פרעון מלוות מוכר לא למחזור,6491,649,,EXPENDITURE,,,
פרעון מלוות מוכר למחזור נטו,6492,649,,EXPENDITURE,,,
שירותים מקומיים,7,,,EXPENDITURE,2,,
תברואה,71,7,,EXPENDITURE,21,,
מינהל תברואה,711,71,,EXPENDITURE,,,
שירותי ניקיון,712,71,,EXPENDITURE,212,,
מינהל שירותי ניקיון,7121,712,,EXPENDITURE,2121,,
ניקוי רחובות,7122,712,,EXPENDITURE,2122,,
אסוף ובעור אשפה,7123,712,,EXPENDITURE,2123,,
ניקוי חצרות,7124,712,,EXPENDITURE,2124,,
בתי שימוש ציבוריים,7125,712,,EXPENDITURE,2125,,
פיקוח תברואי,713,71,,EXPENDITURE,213,,
מינהל הפיקוח התברואי,7131,713,,EXPENDITURE,2131,,
פקוח תברואי כללי,7132,713,,EXPENDITURE,2132,,
פיקוח על עסקים ומוסדות,7133,713,,EXPENDITURE,2133,,
שרות וטרינרי,714,71,,EXPENDITURE,214,,
מינהל שרות וטרינרי,7141,714,,EXPENDITURE,2141,,
פיקוח וטרינרי,7142,714,,EXPENDITURE,2142,,
מלחמה בכלבת,7143,714,,EXPENDITURE,2143,,
תברואה מונעת,715,71,,EXPENDITURE,215,,
מכירת חומרי תברואה,7151,715,,EXPENDITURE,2151,,
הדברת מחלות מדבקות,7152,715,,EXPENDITURE,2152,,
שרות להדברת מזיקים,7153,715,,EXPENDITURE,2153,,
שמירה ובטחון,72,7,,EXPENDITURE,22,,
מינהל שמירה ובטחון,721,72,,EXPENDITURE,221,,
שמירה ביטחונית,722,72,,EXPENDITURE,222,,
משמר אזרחי,7221,722,,EXPENDITURE,2221,,
הג״א,723,72,,EXPENDITURE,223,,
כבוי אש,724,72,,EXPENDITURE,224,,
בטיחות,725,72,,EXPENDITURE,225,,
"מל״ח ופס""ח",726,72,,EXPENDITURE,226,,
מל״ח,7261,726,,EXPENDITURE,2261,,
"פס""ח",7262,726,,EXPENDITURE,2262,,
הגמ״ר,727,72,,EXPENDITURE,227,,
כסוי הוצאות לשעת חירום,729,72,,EXPENDITURE,229,,
תכנון ובנין עיר,73,7,,EXPENDITURE,23,,
משרד מהנדס הרשות,731,73,,EXPENDITURE,231,,
תכנון עיר,732,73,,EXPENDITURE,232,,
תכנון כללי,7321,732,,EXPENDITURE,2321,,
תוכנית אב,7322,732,,EXPENDITURE,2322,,
מדידות,7323,732,,EXPENDITURE,2323,,
רישוי ופיקוח על הבניה,733,73,,EXPENDITURE,233,,
"אגרות, רישיונות בניה",7331,733,,EXPENDITURE,2331,,
 פקוח על הבניה,7332,733,,EXPENDITURE,2332,,
פיקוח על בנינים מסוכנים,7333,733,,EXPENDITURE,2333,,
ועדה מקומית לתכנון ובניה,7334,733,,EXPENDITURE,2334,,
נכסים ציבוריים,74,7,,EXPENDITURE,24,,
מינהל נכסים ציבוריים,741,74,,EXPENDITURE,241,,
דרכים ומדרכות,742,74,,EXPENDITURE,242,,
אחזקת כבישים עורקים,7421,742,,EXPENDITURE,2421,,
אחזקת כבישים פנימיים ומדרכות,7422,742,,EXPENDITURE,2422,,
תאורת רחובות,743,74,,EXPENDITURE,243,,
בטיחות בדרכים,744,74,,EXPENDITURE,244,,
תחזוקת רמזורים ואיי תנועה,7441,744,,EXPENDITURE,2441,,
תחזוקת מעברים תת קרקעיים וגשרים,7442,744,,EXPENDITURE,2442,,
מעקות ואמצעי בטיחות,7443,744,,EXPENDITURE,2443,,
שלטים תמרורים וסימוני כבישים,7444,744,,EXPENDITURE,2444,,
מטה בטיחות עירוני,7445,744,,EXPENDITURE,2445,,
תיעול וניקוז,745,74,,EXPENDITURE,245,,
גנים ונטיעות,746,74,,EXPENDITURE,246,,
גינות ציבוריות,7461,746,,EXPENDITURE,2461,,
טיפוח פינות נוי,7462,746,,EXPENDITURE,2462,,
מזרקות ואלמנטי רחוב אומנותיים,7463,746,,EXPENDITURE,2463,,
ריהוט רחוב ומתקני משחקים,7464,746,,EXPENDITURE,2464,,
"חופים, בריכות ומרחצאות",747,74,,EXPENDITURE,247,,
חופי רחצה,7472,747,,EXPENDITURE,2472,,
בריכות שחיה,7473,747,,EXPENDITURE,2473,,
מרחצאות,7474,747,,EXPENDITURE,2474,,
בתי עלמין,748,74,,EXPENDITURE,248,,
נכסים ציבוריים אחרים,749,74,,EXPENDITURE,249,,
חגיגות מבצעים ואירועים,75,7,,EXPENDITURE,25,,
חגיגות יום העצמאות,751,75,,EXPENDITURE,251,,
חגיגות וטכסים אחרים,752,75,,EXPENDITURE,252,,
פעולות אימוץ,753,75,,EXPENDITURE,253,,
קשרים בינלאומיים,754,75,,EXPENDITURE,254,,
כנסים ואירועים בינלאומיים,756,75,,EXPENDITURE,256,,
שירותים עירוניים שונים,76,7,,EXPENDITURE,26,,
מוקד עירוני,761,76,,EXPENDITURE,261,,
מידע לציבור,762,76,,EXPENDITURE,262,,
תרבות הדיור,764,76,,EXPENDITURE,264,,
מוסדות כלליים,765,76,,EXPENDITURE,265,,
ועדים מקומיים,766,76,,EXPENDITURE,266,,
בטוח אלמנטרי לרשות,767,76,,EXPENDITURE,267,,
מפעם - מרכז הדרכה אזורי,768,76,,EXPENDITURE,268,,
שירותים שונים,769,76,,EXPENDITURE,269,,
פיתוח כלכלי,77,7,,EXPENDITURE,27,,
עידוד קייט ותיירות,771,77,,EXPENDITURE,271,,
